E1,E2 (A),E2 (B),E2 (C),E2 (D),E3,E4,E5 (A),E5 (B),E6 (A),E6 (B),E7,E8,E9,E10,E11
14.01273885,100,33.10810811,61.58940397,0,0,100,81.41025641,4.761904762,100,100,80,0,0,50,100
0,100,42.37288136,0,0,0,77.16049383,55.81395349,0,100,60.60606061,80,0,100,100,100
0,76.22377622,66.66666667,46.51162791,0,0,0,81.46067416,16.91176471,0,23.07692308,71.42857143,0,66.66666667,60,60
0,100,0,57.66423358,0,0,55.14705882,35.2,0,100,82.96296296,85.71428571,75,75,0,100
21.42857143,64.36781609,0,0,35.48387097,61.49425287,0,0,27.73109244,46.61654135,75,60,0,0,0,0
0,100,0,23.14049587,0,0,36.09467456,28.75,6.285714286,100,60,100,0,85.71428571,100,100
0,100,0,61.42857143,0,0,34.21052632,53.37423313,70.06802721,100,75,100,0,0,100,100
0,100,0,0,0,0,100,100,0,100,67.81609195,80,60,85.71428571,100,100
0,100,3.448275862,0,0,75,100,30.6122449,0,100,73.72881356,100,0,66.66666667,100,100
65.89147287,27.41935484,0,0,0,84.8,52.69461078,0,3.93258427,0,0,0,0,0,87.5,0
18.02325581,100,0,24.44444444,51.14942529,0,100,42.51968504,0,100,14.96598639,0,71.42857143,83.33333333,0,100
0,100,0,59.8540146,0,0,29.22077922,100,0,100,70.86092715,85.71428571,60,75,0,100
11.73184358,100,0,0,0,0,35.19553073,60,0,100,15.89403974,85.71428571,60,85.71428571,100,100
43.58974359,100,0,0,0,43.78698225,62.5,100,58.38150289,100,66.66666667,80,71.42857143,85.71428571,50,100
64.11764706,100,36.41975309,57.48031496,0,0,65.625,71.42857143,58.33333333,100,31.50684932,66.66666667,94.11764706,85.71428571,100,100
0,100,40.78947368,0,0,0,41.46341463,75.18796992,0,100,48.80952381,85.71428571,66.66666667,100,100,100
0,100,37.5,0,0,33.33333333,51.42857143,100,99.45652174,100,100,100,0,0,100,100
93.10344828,0,45.80152672,0,0,0,37.33333333,0,96.66666667,22.2972973,1.685393258,66.66666667,0,0,50,71.42857143
0,100,0,24.42748092,0,0,100,60,0,100,60,80,0,100,100,100
90.8045977,0,27.92207792,26.85714286,68.04733728,0,0,0,45.69536424,10.66666667,0,71.42857143,0,60,60,0
0,0,98.11320755,0,0,53.7414966,80,0,0,27.5,90,66.66666667,60,87.5,0,75
0,100,0,0,0,0,100,60,0,100,100,100,60,0,100,100
0,0,0,0,51.03448276,74.07407407,69.5035461,0,0,0,21.66666667,0,66.66666667,0,60,50
80.41958042,100,0,29.83870968,0,0,69.41176471,100,55.07246377,100,100,83.33333333,60,85.71428571,100,100
57.55813953,100,66.86046512,94.44444444,7.317073171,0,79.03225806,75,16.78321678,100,100,0,0,80,100,100
8.666666667,100,0,59.73154362,0,0,66.66666667,60.60606061,79.11392405,100,74.26900585,75,85.71428571,80,100,100
0,0,25.73529412,23.38709677,4.47761194,50,33.12101911,35.55555556,82.28571429,65.75342466,0,0,0,66.66666667,71.42857143,60
11.04651163,100,0,68.23529412,27.81954887,3.571428571,60,53.63128492,0,100,75,0,60,75,100,100
28.57142857,100,0,2.51572327,0,0,64.86486486,60,0,100,36.875,66.66666667,0,80,100,100
0,0,0,37.5,64.73988439,0,63.88888889,47.33333333,62.20472441,84.61538462,0,75,75,0,60,87.5
0,100,7.096774194,0,0,0,41.7218543,18.96551724,60,100,80.55555556,80,66.66666667,75,100,100
0,0,0,26.92307692,0,8.823529412,10.97560976,0,87.3015873,34.80662983,33.8028169,0,71.42857143,100,50,0
52.66272189,100,0,12.5,10.74380165,32.19178082,48.58757062,100,31.11111111,100,100,87.5,60,100,100,100
0,100,95.55555556,16.32653061,81.29032258,39.86928105,60,100,9.756097561,100,100,75,0,80,50,100
0,100,73.4375,0,0,0,59.88700565,73.75,58.08383234,100,58.51851852,66.66666667,71.42857143,50,66.66666667,100
0,100,0,55.27950311,37.67123288,0,100,100,40,100,51.66666667,0,0,75,100,100
0,100,28.125,0,73.23943662,0,52.29885057,100,60.11904762,100,76.57142857,80,100,75,100,100
0,100,0,49.0797546,0,86.17886179,83.72093023,62.28571429,0,100,100,100,60,83.33333333,100,100
0,48.66666667,0,0,0,0,0,0,0,25,0,0,75,60,66.66666667,60
0,100,0,0,57.33333333,42.42424242,59.88372093,14.61988304,50,100,100,80,75,80,100,100
21.31147541,94.28571429,42.85714286,0,0,0,0,0,48.03149606,64.66165414,0,0,60,71.42857143,0,85.71428571
0,100,16.66666667,19.65317919,14.18918919,0,48.66666667,42.85714286,48.64864865,100,100,0,0,100,100,100
0,100,0,0,55.82822086,0,44.94382022,71.42857143,28.74251497,100,50,80,60,80,100,100
0,100,0,88.88888889,0,0,100,45.29411765,75,100,100,75,85.71428571,0,100,100
75,0,12.42937853,0,34.64566929,91.30434783,0,0,57.14285714,0,0,60,0,60,80,71.42857143
75,100,0,71.11111111,0,0,55.17241379,80.2259887,0,100,49.62962963,80,50,0,100,100
6.818181818,0,0,0,0,0,0,0,0,8.571428571,0,0,71.42857143,0,66.66666667,60
0,100,0,42.02898551,0,42.17687075,100,42.77108434,36.80555556,100,74.43181818,0,0,100,100,100
0,100,0,12.5,90.22988506,37.07865169,36.47798742,52.40963855,20.44198895,100,60,75,60,0,100,100
12.77777778,0,0,0,0,75,0,3.773584906,18.49710983,4.511278195,54.48275862,100,66.66666667,71.42857143,83.33333333,0
0,100,49.64028777,0,0,75,73.44632768,76.58227848,0,100,39.74358974,100,60,100,100,100
0,100,80.92105263,80.625,0,16.66666667,70.33898305,85.06493506,0,100,67.23163842,100,0,100,100,100
27.73722628,100,0,0,0,0,81.81818182,8.988764045,0,100,100,100,0,83.33333333,100,100
0,0,33.33333333,22.43589744,0,26.79738562,3.571428571,0,0,0,0,66.66666667,75,60,60,0
0,28.57142857,42.85714286,0,0,0,48.5915493,0,0,71.42857143,0,75,66.66666667,75,66.66666667,0
97.2972973,100,0,0,32.74853801,0,78.48101266,29.26829268,50.80645161,100,100,0,60,75,100,100
0,6.611570248,39.87730061,51.12359551,0,0,39.2,94.28571429,0,76.83615819,0,0,50,60,87.5,87.5
0,15.03267974,68.88888889,0,0,17.94871795,0,94.44444444,0,0,4.87804878,0,75,0,60,83.33333333
53.50318471,0,0,0,0,0,0,76.55172414,32.69230769,65.82278481,0,0,60,71.42857143,60,87.5
0,100,38.46153846,0,0,0,67.91044776,52.60115607,23.2,100,100,100,60,75,100,100
0,100,64.94252874,85.71428571,81.1023622,0,50.34013605,75,6.293706294,100,59.88023952,85.71428571,0,75,100,100
0,100,0,45.40229885,7.407407407,0,73.28244275,85.71428571,14.17322835,100,38.27160494,83.33333333,75,80,100,100
3.797468354,100,0,0,9.302325581,0,46.24277457,70,31.11111111,100,80.55555556,66.66666667,66.66666667,66.66666667,100,100
27.16049383,100,0,0,94.44444444,33.11688312,50.98039216,100,18.30065359,100,70.54263566,75,60,66.66666667,100,100
32.55813953,100,53.125,0,5.625,0,71.42857143,71.73913043,0,100,60,100,85.71428571,75,50,100
4.109589041,100,0,41.27906977,42.85714286,0,60,10,46.34146341,100,43.66197183,0,0,85.71428571,100,100
25,100,31.16883117,47.14285714,0,0,66.03773585,100,0,100,100,80,60,0,66.66666667,100
74.63768116,100,0,0,0,0,28.67647059,0,0,100,35.61643836,100,75,80,66.66666667,100
0,100,93.33333333,30.85714286,36.58536585,64.05228758,66.66666667,100,13.37579618,100,40,75,71.42857143,75,100,100
0,100,54.72972973,78.51239669,0,82.85714286,72,100,35.76642336,100,100,66.66666667,87.5,83.33333333,100,100
0,100,0,0,0,0,43.69747899,100,0,100,100,0,75,80,100,100
0,100,0,91.40625,28.46153846,0,85.52631579,32.4137931,45.66929134,100,79.21348315,80,0,80,100,100
66.21621622,100,0,26.17449664,10.60606061,47.89915966,71.51898734,15.12605042,0,100,43.91891892,75,60,0,100,100
42.85714286,100,0,0,40.46242775,0,50,100,96.96969697,100,79.33333333,85.71428571,71.42857143,75,100,100
0,100,0,0,0,23.07692308,100,34.14634146,59.42028986,100,100,75,0,100,100,100
0,33.89830508,0,0,0,0,54.81481481,0,0,0,15.54054054,0,60,0,87.5,80
0,100,0,0,67.34693878,0,68.79432624,71.65354331,98.7654321,100,53.37837838,83.33333333,0,80,100,100
0,0,0,76.15384615,0,0,50,0,14.17322835,24,0,66.66666667,66.66666667,0,80,0
98.7654321,100,41.61849711,0,0,0,37.5,100,24.08759124,100,52.08333333,83.33333333,0,100,100,100
23.02631579,100,0,7.407407407,0,65.15151515,71.42857143,32.53968254,70.0729927,100,52,66.66666667,66.66666667,85.71428571,0,100
0,100,0,0,66.85393258,0,71.42857143,12,0,100,60,100,0,0,100,100
14.52513966,100,0,0,41.11111111,0,83.64779874,14.37125749,28.20512821,100,50,75,0,0,0,100
66.66666667,0,0,4.402515723,0,97.14285714,15,26.875,0,57.24637681,94.44444444,75,60,60,50,50
0,100,0,58.4,13.86861314,0,50,21.05263158,69.5035461,100,100,85.71428571,85.71428571,87.5,100,100
0,100,0,0,0,0,55.93220339,50.72463768,0,100,38.46153846,80,71.42857143,75,100,100
0,100,0,0,31.67701863,0,100,82.68156425,9.271523179,100,75.3968254,80,0,80,100,100
0,100,21.21212121,0,0,0,55.84415584,49.19354839,75,100,75,83.33333333,66.66666667,80,50,100
21.55688623,100,0,14.36464088,70,37.5,75,100,70.22900763,100,27.21518987,0,0,80,100,100
0,100,13.33333333,0,3.389830508,0,100,100,0,100,100,71.42857143,0,0,100,100
66.66666667,100,0,0,0,0,48.58757062,65.87301587,85.98726115,100,50,80,87.5,100,100,100
0,38.65546218,0,0,0,75.81699346,0,0,47.69230769,0,27.33333333,60,71.42857143,60,60,0
0,100,24.85875706,27.6119403,48.14814815,0,77.24137931,60,33.10810811,100,56.49350649,80,0,87.5,66.66666667,100
94.59459459,0,0,0,11.79775281,0,0,0,0,0,0,71.42857143,60,0,71.42857143,0
0,68.99224806,0,0,0,90.90909091,79.19463087,0,92.85714286,0,30.6122449,60,85.71428571,0,0,0
0,100,30.3030303,0,0,0,50,50,0,100,71.12676056,66.66666667,87.5,87.5,100,100
44.06779661,0,0,42.85714286,67.85714286,5.660377358,3.225806452,0,49.36708861,9.558823529,50.70422535,0,100,75,100,60
62.5,100,7.482993197,19.52662722,0,27.89115646,66.66666667,100,58.53658537,100,50,75,75,100,100,100
40.87591241,100,82.57575758,0,80,0,63.23529412,66.02564103,0,100,100,66.66666667,0,75,66.66666667,100
0,100,0,0,17.1875,0,73.61111111,45.39877301,20,100,38.75,80,60,75,100,100
0,0,0,59.67741935,25,25.55555556,66.40625,22.51655629,52.2875817,0,0,60,71.42857143,60,60,83.33333333
10.81081081,100,0,60.71428571,43.90243902,0,60,81.11111111,0,100,100,66.66666667,66.66666667,87.5,100,100
0,100,32.38636364,0,0,77.21518987,79.10447761,49.71098266,70.67669173,100,100,100,0,75,100,100
24.82269504,6.349206349,0,0,0,0,69.11764706,0,0,0,0,71.42857143,0,66.66666667,0,71.42857143
35.15151515,100,0,0,32.94797688,22.3880597,100,100,86.7816092,100,66.66666667,100,60,75,100,100
0,44.16666667,0,0,0,0,0,0,0,24.82758621,0,75,0,75,100,0
0,100,93.45238095,42.85714286,0,72.03389831,100,64.05228758,42.77777778,100,61.36363636,77.3480663,71.42857143,100,100,100
0,100,0,0,0,47.79411765,14.08450704,78.26086957,86.5248227,100,62.09150327,66.66666667,71.42857143,80,100,100
43.24324324,100,0,34.21052632,0,0,71.42857143,75,0,100,100,87.5,0,87.5,100,100
0,100,0,45.94594595,0,0,100,50,0,100,66.66666667,66.66666667,75,83.33333333,100,100
0,100,32.55813953,0,0,0,0,36.36363636,20,100,68.96551724,85.71428571,95.23809524,75.97765363,50,100
9.558823529,100,0,0,96.66666667,38.01169591,34.83870968,50,7.947019868,100,60,75,0,85.71428571,100,100
0,65.80645161,0,27.00729927,0,32.31707317,32.31707317,0,0,0,0,60,66.66666667,0,100,60
0,100,0,0,0,5.555555556,50,78,0,100,46.28099174,80,0,100,0,100
94.44444444,9.356725146,0,0,0,63.30935252,0,39.76608187,0,26.99386503,0,0,75,66.66666667,0,80
0,100,22.68907563,65.625,0,0,60,41.17647059,0,100,64.63414634,83.33333333,0,0,66.66666667,100
0,100,0,0,0,0,52.12121212,36.58536585,82.8125,100,100,100,60,0,100,100
0,100,0,5.882352941,0,33.84615385,51.66666667,68.07228916,12.5,100,48.92086331,75,0,0,50,100
68.62745098,0,48.92086331,0,0,45.63758389,31.74603175,0,53.01204819,59.30232558,5.988023952,60,85.71428571,87.5,83.33333333,0
57.93650794,100,35.55555556,0,0,37.5,59.39849624,100,0,100,100,87.5,75,83.33333333,66.66666667,100
37.5,91.30434783,22,0,0,69.18604651,75,36.71875,51.5625,0,0,0,60,0,0,0
0,100,0,0,38.02816901,66.02564103,35.25641026,100,0,100,52.07100592,100,50,0,100,100
21.27659574,100,0,0,0,0,100,79.375,7.56302521,100,66.87898089,100,66.66666667,85.71428571,100,100
0,0,75,28.57142857,1.744186047,16.80672269,79.85074627,35.22012579,27.27272727,0,10.65088757,94.73684211,50,0,87.5,100
31.51515152,100,0,6.493506494,0,0,46.34146341,71.42857143,16.37426901,100,80.23255814,75,85.71428571,100,100,100
50.30674847,100,0,17.44966443,0,0,74.34210526,76.24309392,30.43478261,100,100,75,0,0,100,100
0,100,0,27.48538012,0,51.9379845,100,60,21.875,100,48.8,66.66666667,60,100,100,100
0,0,97.43589744,0,0,79.69924812,0,28.23529412,0,50.74626866,0,75,71.42857143,0,0,60
27.81456954,0,63.97515528,23.88888889,0,1.714285714,0,65,5,0,0,71.42857143,0,60,0,60
93.75,100,0,0,0,0,51.2345679,66.66666667,62.89308176,100,49.42528736,0,0,100,66.66666667,100
50,0,0,0,0,0,0,78.10218978,0,53.7037037,0,0,0,0,0,60
61.71428571,0,0,79.41176471,22.42424242,26.27118644,96.77419355,0,24.52830189,0,0,100,0,66.66666667,66.66666667,0
0,0,0,0,0,0,0,93.75,36.71875,0,17.32283465,0,66.66666667,66.66666667,0,100
70.83333333,100,75,6.857142857,0,0,60,71.92982456,0,100,47.32824427,100,0,75,100,100
