E1,E2 (A),E2 (B),E2 (C),E2 (D),E3,E4,E5 (A),E5 (B),E6 (A),E6 (B),E7,E8,E9,E10,E11
0,100,0,0,0,34.52380952,66.66666667,47.78761062,0,100,100,80,60,0,100,100
0,100,59.79381443,0,0,0,100,51.64835165,94.87179487,100,100,93.33333333,0,100,100,100
59.25925926,100,78.37837838,0,42.45283019,3.370786517,100,27.35042735,0,100,64.36781609,83.33333333,60,85.71428571,100,100
0,100,0,0,0,0,53.33333333,16.66666667,19.17808219,100,100,100,0,83.33333333,100,100
66.66666667,100,0,87.5,87.5,26.26262626,70,100,85.71428571,100,100,83.33333333,50,0,100,100
0,100,94.44444444,0,0,88.88888889,60,74.35897436,0,100,71.27659574,100,71.42857143,100,100,100
0,100,75.29411765,0,0,94.44444444,100,100,0,100,100,75,75,100,100,100
54.21686747,100,46.875,0,0,28.57142857,100,100,0,100,100,100,87.5,100,100,100
0,100,24.7311828,75,0,75,100,0,0,100,100,100,60,100,100,100
0,100,10.28037383,0,0,48.03921569,100,0,0,100,0,100,60,0,100,100
25,100,0,0,0,0,100,66.66666667,11.60714286,100,66.66666667,100,0,100,100,100
0,100,0,0,5.555555556,0,50,76.76767677,0,100,66.98113208,85.71428571,60,0,100,100
54.63917526,100,0,67.61904762,0,0,39.42307692,100,0,100,7.594936709,100,0,100,100,100
0,100,0,0,0,0,66.66666667,100,0,100,73.14814815,87.5,60,100,100,100
0,100,44.44444444,57.14285714,12.34567901,0,100,100,0,100,100,100,100,0,100,100
0,100,0,0,0,36.20689655,70.21276596,100,0,100,71.42857143,100,0,100,0,100
61.32075472,100,0,0,0,0,59.7826087,61.16504854,0,100,27.19298246,80,60,66.66666667,100,100
36.95652174,100,0,0,0,20,56.41025641,31.68316832,68.88888889,100,64.36781609,100,60,0,100,100
0,100,0,0,73.58490566,52.08333333,100,0,0,100,100,0,71.42857143,100,100,100
0,100,10.38961039,0,0,0,63.2183908,34.54545455,10.20408163,100,100,66.66666667,0,100,100,100
0,100,0,79.48717949,95.45454545,81.1965812,100,0,36.70886076,100,100,100,60,0,100,100
